scheme_slug,scheme_name,faq_number,question,answer
daris,Documentation And Research Assistantship Scheme,6,How much will I be paid as a documentation assistant for the work I perform under this scheme?,Documentation assistants will be paid an honorarium on clock-hour basis as determined by Tiatr Academy of Goa. The specific hourly rate will be decided by the academy.
daris,Documentation And Research Assistantship Scheme,7,Is there any preference given to certain candidates when selecting documentation assistants for this preservation and digitisation work?,"Yes, preference will be given to persons who are in proximity to the venue of the holdings. This ensures better coordination and accessibility for the documentation work."
daris,Documentation And Research Assistantship Scheme,8,What are the key details I need to provide in the application form for this documentation and research assistance program?,"The application form requires your name, complete address, contact number, email identification, Aadhaar Card number, and the specific aspect of this theatrical art form on which documentation can be undertaken."
daris,Documentation And Research Assistantship Scheme,9,Who will verify and certify that the documentation work performed by the assistant has been completed satisfactorily?,The work done must be certified by the holder of the material. The material owner is responsible for verifying and certifying the quality and completion of documentation tasks.
daris,Documentation And Research Assistantship Scheme,10,"If external agencies need to be hired for certain documentation tasks, will those costs be covered under this scheme?","Yes, Tiatr Academy of Goa will reimburse costs incurred towards conversion according to rates determined by it if services of other agencies become necessary for the documentation work."
daris,Documentation And Research Assistantship Scheme,11,"As a holder of valuable theatrical materials, what commitment must I make when applying for documentation assistance under this program?",You must indicate willingness to permit and facilitate documentation and organisation tasks. This commitment ensures that documentation assistants can access and work with your materials effectively.
daris,Documentation And Research Assistantship Scheme,12,How does the academy ensure quality control and monitor the progress of documentation work being carried out?,Tiatr Academy of Goa will periodically review the work undertaken and accordingly extend or curtail the assistantship based on the quality and progress of the documentation tasks.
daris,Documentation And Research Assistantship Scheme,13,What specific conversion and digitisation tasks might I be expected to perform as a documentation assistant in this preservation program?,"Tasks may include compilation and organisation of materials, typing or word-processing of textual materials, scanning and converting by Optical Character Recognition, conversion of images by scanning or photographing with digital camera, and converting video or audio recordings from analogue to digital format."
daris,Documentation And Research Assistantship Scheme,14,Can I suggest or recommend someone who lives near my location to work as a documentation assistant for my materials?,"Yes, as a material holder, you may indicate proximate candidates who are willing to undertake the documentation work when submitting your application to the academy."
darw-hbocwwb,Death Assistance For Registered Worker (HBOCWWB),1,What is the “Death Assistance for Registered Worker (HBOCWWB)” scheme?,"Under the scheme, financial assistance of [?]2,00,000/- will be given to the nominee/legal heir/dependent family members of the registered worker on his natural death."
darw-hbocwwb,Death Assistance For Registered Worker (HBOCWWB),2,Which department has launched this scheme?,"Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana"
darw-hbocwwb,Death Assistance For Registered Worker (HBOCWWB),3,Who is eligible to get financial assistance under the scheme?,The only person who is a legal heir/dependent family member of the deceased registered worker is eligible to apply under the scheme.
darw-hbocwwb,Death Assistance For Registered Worker (HBOCWWB),4,Is this scheme only for a resident of Haryana State?,"Yes, the applicant should be a permanent resident/domicile of Haryana State."
darw-hbocwwb,Death Assistance For Registered Worker (HBOCWWB),5,What is the benefit of the scheme?,"The financial assistance of [?]2,00,000/- will be given to the nominee/legal heir/dependent family members of the registered worker on his natural death."
darw-hbocwwb,Death Assistance For Registered Worker (HBOCWWB),6,Will the financial assistance be given only in case of the natural death of a worker?,"Yes, financial assistance will be given to the nominee in case of the natural death of the registered worker."
darw-hbocwwb,Death Assistance For Registered Worker (HBOCWWB),7,Will the benefit of this scheme be available only when the deceased construction worker is registered?,"Yes, the deceased construction worker should be registered under Haryana Building and Other Construction Workers Welfare Board (HBOCWWB) and have an active membership."
darw-hbocwwb,Death Assistance For Registered Worker (HBOCWWB),8,How can an applicant apply under the scheme?,The eligible applicant may apply online mode.
darw-hbocwwb,Death Assistance For Registered Worker (HBOCWWB),9,How can an applicant apply online under the scheme?,"For online application, the applicant should visit the Official Portal -Antyodaya-SARAL Portal. https://saralharyana.gov.in/"
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),1,What is the objective of the scheme?,"Under the scheme, a lump sum financial assistance of [?]1.50 lakh to [?]3.00 lakh is given to registered workers on the basis of the percentage of disability which occurred due to an accident at the workplace during the course of employment."
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),2,Which department has launched this scheme?,"Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana"
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),3,Who is eligible to get the benefits under the scheme?,The registered worker who has become disabled due to an accident at the workplace during the course of employment is eligible to apply under the scheme.
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),4,Can a general category worker be eligible to apply under this scheme?,"Yes, this scheme is for all categories of workers."
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),5,Is this scheme only for a resident of Haryana State?,"Yes, the applicant should be a permanent resident/domicile of Haryana State."
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),6,Is it mandatory for workers to have a regular membership under the board?,"Yes, the registered worker should have regular membership."
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),7,What is the benefit of the scheme?,Financial assistance of [?]1.50 lakh to [?]3.00 lakh is given to registered workers on the basis of the percentage of disability which occurred due to an accident at the workplace during the course of employment.
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),8,Who will issue the Disability Certificate to registered worker?,The Disability Certificate in regard to the percentage of disability issued by the Government Medical Board.
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),9,In how many days the application form can be submitted to the Competent Authority?,It is mandatory to apply within one year of becoming disabled.
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),10,How can a construction worker get registered under HBOCWWB?,"For registration, the construction worker should visit the Official Website of the Labour Department Haryana. https://hrylabour.gov.in/"
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),11,Is there any registration fee needed while registering under HBOCWWB?,"Yes, the first-time registration charges are [?]25/- and the registration fees vary according to the renewal time period."
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),12,How can an applicant apply under the scheme?,The eligible applicant may apply online mode.
darwhbocwwb,Disability Assistance For Registered Worker (HBOCWWB),13,How can an applicant apply online under the scheme?,"For online application, the applicant should visit the Official Portal -Antyodaya-SARAL Portal. https://saralharyana.gov.in/"
darygbocwwb,Dhanvantari Arogya Rath Yojana (GBOCWWB),1,Who implements the scheme?,The scheme is implemented by EMRI Green Health Services Gujarat (GVK-108) through a tripartite MoU with the Health Department and EMRI Green Health Services Gujarat.
darygbocwwb,Dhanvantari Arogya Rath Yojana (GBOCWWB),2,What are the objectives of the scheme?,"The scheme aims to ensure that construction workers and their families receive primary medical treatment, prevent serious diseases, and maintain their health at various locations including construction sites, labour colonies, and Kadianaka."
darygbocwwb,Dhanvantari Arogya Rath Yojana (GBOCWWB),3,What benefits are provided under the scheme?,"Treatment for primary injuries, common diseases like fever, diarrheas, vomiting, skin diseases, laboratory tests such as urine, blood, blood sugar, malaria, primary care for women and children, and primary care for pregnant women during pregnancy are provided on the spot. Free medicines are also given."
darygbocwwb,Dhanvantari Arogya Rath Yojana (GBOCWWB),4,Who is eligible for the scheme?,Construction workers registered with the Gujarat Building and Other Construction Worker's Welfare Board and their family members are eligible for the scheme benefits.
darygbocwwb,Dhanvantari Arogya Rath Yojana (GBOCWWB),5,How can construction workers and their families avail of the benefits?,They can avail of the benefits by visiting the Dhanvantari Arogya Rath stationed at Kadianaka and construction sites.
darygbocwwb,Dhanvantari Arogya Rath Yojana (GBOCWWB),6,What documents are required to avail of the benefits?,E-Nirman Card
darygbocwwb,Dhanvantari Arogya Rath Yojana (GBOCWWB),7,Is there any cost associated with availing the benefits?,"No, the medical treatment and medicines provided under the scheme are free of cost for registered construction workers and their families."
darygbocwwb,Dhanvantari Arogya Rath Yojana (GBOCWWB),8,Can non-registered construction workers avail of the scheme benefits?,"No, only construction workers registered with the welfare board are eligible for the benefits of the Dhanvantari Arogya Rath Yojana."
dasbbocwwb,Death Assistance Scheme (BBOCWWB),1,What is the Death Assistance Scheme?,It provides financial aid to the family of a deceased registered construction worker.
dasbbocwwb,Death Assistance Scheme (BBOCWWB),2,Who implements this scheme?,The Bihar Building & Other Construction Workers Welfare Board (BBOCWWB).
dasbbocwwb,Death Assistance Scheme (BBOCWWB),3,How much assistance is given for natural death?,"[?]2,00,000/- (Rupees two lakhs)."
dasbbocwwb,Death Assistance Scheme (BBOCWWB),4,How much assistance is provided for accidental death?,"[?]4,00,000/- (Rupees four lakhs)."
dasbbocwwb,Death Assistance Scheme (BBOCWWB),5,What if the death occurs during a disaster?,"If disaster aid is received, [?]1,00,000/- (Rupees one lakh) is provided by the Board."
dasbbocwwb,Death Assistance Scheme (BBOCWWB),6,Who is eligible to apply?,A legal heir or dependent family member of the deceased worker.
dasbbocwwb,Death Assistance Scheme (BBOCWWB),7,Should the deceased worker be registered?,"Yes, they must be a registered member of BBOCWWB."
dasbbocwwb,Death Assistance Scheme (BBOCWWB),8,Does the worker’s registration need to be active?,"Yes, the membership must be active at the time of death."
dasbbocwwb,Death Assistance Scheme (BBOCWWB),9,Where can the application be submitted?,At the Bihar Building & Other Construction Workers Welfare Board office.
dasbbocwwb,Death Assistance Scheme (BBOCWWB),10,What documents are required?,"Death certificate, worker's registration proof, legal heir certificate, and bank details."
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),1,"What is the ""Death Assistance Scheme""?","The ""Death Assistance Scheme"" provides funeral assistance and ex-gratia payments to the heirs of registered construction workers in case of their death or disability."
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),2,Who is eligible for the scheme?,The legal heir or dependent family member of a registered worker who holds an active membership with the MPBOCWWB is eligible.
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),3,What benefits are provided under the scheme?,"Benefits include funeral assistance of [?]6,000 and ex-gratia payments ranging from [?]1 lakh to [?]4 lakh depending on the nature of the death or disability."
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),4,How much funeral assistance is provided?,"[?]6,000 is provided as funeral assistance."
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),5,What is the ex-gratia payment for a normal death?,[?]2 lakh is provided in case of a normal death.
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),6,What is the ex-gratia payment for death due to an accident?,[?]4 lakh is provided if the death is due to an accident.
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),7,What is the ex-gratia payment for permanent disability due to an accident?,[?]2 lakh is provided for permanent disability due to an accident.
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),8,What is the ex-gratia payment for partial permanent disability due to an accident?,[?]1 lakh is provided for partial permanent disability due to an accident.
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),9,Who can apply for the scheme?,"The legal heir or dependent family member, such as the spouse, children, or parents, can apply."
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),10,Can a distant relative apply for the scheme?,"No, only the legal heir or dependent family members of the deceased worker are eligible to apply."
dasmpbocwwb,Death Assistance Scheme (MPBOCWWB),11,Is the worker required to have a valid identity card?,"Yes, the deceased worker must have a valid identity card issued by the MPBOCWWB."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,1,What Is NRLM - Aajeevika ?,"National Rural Livelihoods Mission (NRLM) - Aajeevika was launched by the Ministry of Rural Development (MoRD), Government of India in June 2011 as a restructured version of Swarna Jayanti Gram Swarozgar Yojna (SGSY). NRLM has the mandate of reaching out to 100 million rural poor in 6 lakh villages across the country. | The poor have innate capabilities to overcome poverty. NRLM strives towards unleashing this entrepreneurial capability by creating appropriate platforms for the poor through a dedicated and sensitive support structures."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,2,How Is It Different From Swarna Jyanti Swarozgar Yojana (SGSY)?,"NRLM has adopted 'demand driven' strategy, in place of SGSY's 'allocation based' strategy. This implies that under NRLM, states have greater autonomy to plan for implementing the programme. NRLM encourages states to prepare State Perspective for Implementation Plans (SPIP) for seven years and Annual Action Plans (AAPs). The allocation for the state is released against the approved AAP. | NRLM has adopted a Participatory Identification of Poor (PIP) instead of the BPL to identify its beneficiaries."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,3,What Are The Key Features Of NRLM?,"NRLM rests on three major pillars - universal social mobilization, financial inclusion and livelihoods enhancement. It works towards bringing at least one member (preferably a woman) from all poor families into the SHG network. The SHGs and their federations offer their members services such as savings, credit and livelihoods support. As the Institutions of the Poor (IoP) mature, they are facilitated to take up livelihoods/income-generating activities."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,4,How Is NRLM Being Implemented?,"NRLM has put in place a dedicated, sensitive support structure to facilitate the creation and functioning of IoP. The SRLMs are given the responsibility of implementing the programme in the states based on their States Perspective Implementation Plans (SPIPs) and Annual Action Plans (AAPs). District Mission Management Units (DMMU) and Block Mission Management Units (BMMU) are established to implement the programme. | At the national level, the National Rural Livelihoods Promotion Society (NRLPS) has been set up to serve as the technical support agency to NRLM. NRLPS supports the SRLMs in strategizing, planning and implementing NRLM."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,5,Who Are Eligible For Benefits Under NRLM?,The NRLM Target Households (NTH) are identified through the Participatory Identification of Poor (PIP) instead of the BPL. The PIP is a community-driven process where the CBOs themselves dentify the poor in the village using participatory tools. The list of poor identified by the CBO is vetted by the Gram Sabha.
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,6,What Are Institutions Of The Poor (IOPs)?,"SHGs, their federations at the village, cluster levels and beyond, and other collectives of the poor constitute Institutions of Poor (IoP). | SHGs are affinity-based homogenous groups of 10-20 members (usually women). They follow five cardinal principles or Panchsutra (regular meetings, regular savings, internal lending, regular repayment and bookkeeping). The SHGs are federated at the village (Village Organisation), sub-block and higher levels. They are supported to become self-sufficient and community-managed institutions over time. | Institutions of the poor such as SHGs and their village level and higher level federations are necessary to provide space, voice and resources for the poor, and for reducing their dependence on external agencies. They empower them. They also act as instruments of knowledge and technology dissemination, and hubs of production, collectivization and commerce. NRLM, therefore, would focus on setting up these institutions at various levels. | In case of special SHGs i.e. groups in remote tribal areas and in difficult areas, groups with vulnerable persons like disabled persons, the group may be as small as 5 members. Only for groups to be formed with Persons with disabilities, and other special categories like elders, transgender, NRLM will have both men and women in the SHGs."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,7,What Are The Functions Of The Group?,"SHGs are affinity-based savings and credit groups to begin with. They offer solidarity. They provide microfinance services - savings, credit, bank linkages, insurance, remittances, equity etc. They also offer collectivization and group activities. The SHGs offer social security and social action in various fronts including health, nutrition, food, gender, convergence etc., directly or through their federations."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,8,What Is The Role Of The Bookkeeper?,"The bookkeeper of the SHG is a literate member of the group or any literate person known to the group members. The bookkeeper is selected by the SHG members and is trained in SHG bookkeeping. A SHG has 4-7 books - member passbook, minutes book, attendance and savings book, cash book, loan ledger, activity/enterprise book(s) etc."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,9,What is the role of the SHG leader?,The SHG leaders motivate the SHG to follow the Panchasutra. They serve as the link between the SHG and other institutions such as banks.
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,10,Is NRLM Only For Women?,"NRLM's priority is to reach out to the poorest, most vulnerable and marginalized. It begins with targeting women and they are considered as representatives of their households. In case of extremely vulnerable persons like Persons with Disabilities (PwDs), elders etc., NRLM mobilizes both men and women. Further, other interventions of NRLM like Rural Self Employment Training Institutes (RSETIs), Aajeevika Skills would reach out to poor in general."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,11,Will Aajeevika Strengthen All Existing SHGs And Federations Of The Poor?,"There are existing institutions of the poor women formed by Government efforts and efforts of NGOs. NRLM would strengthen all existing institutions of the poor in a partnership mode. NRLM strives to build on what exists on ground in terms of SHGs of poor and their federations. After assessing the existing mobilization, NRLM mobilizes the remaining poor in a saturation basis. The new and existing institutions would be strengthened to become selfsustaining accountable and transparent institutions serving the needs of their members. All NRLM compliant institutions would be eligible institutions would receive funds like revolving fund, community investment fund and interest subvention."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,12,How Many Blocks Is NRLM Being Implemented In?,"NRLM is presently working in 1009 blocks in an 'intensive' mode. Of these, 50 blocks are being developed as resource blocks to create local human and social capital (IoPs, internal Community Resource Persons (CRPs) etc.) that would support in implementing NRLM in other blocks. The implementation in resource blocks is supported by National Resource Organisations (NROs) such as SERP (AP), Jeevika (Bihar), Kudumbashree (Kerala) etc. In about 50 blocks, NRLM is partnering with existing Federations and NGOs to saturate the block. In the remaining intensive blocks, the NRLM is fielding its field implementation teams. | NRLM's presence in the remaining blocks in the country, referred as non-intensive blocks, is limited to the extent of supporting the existing mobilization, strengthening the existing institutions, providing revolving fund and bank linkages, and taking up other activities in a limited way."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,13,How Are Partners Taken Aboard In NRLM?,"NRLM works with a variety of organizations for various purposes. It has identified the SRLMs of certain states (AP, Kerala and Bihar) and NROs for implementation support. It has identified National Support Organisations (NSOs) such as PRADAN to provide thematic support. NRLM has also forged partnerships with Capacity Building Agencies (CBAs) and Academic and Management Institutes to meet its capacity building and technical assistance needs. It has also entered into partnerships with CBOs and NGOs to implement the programme in certain blocks of the country. The NRLPS identifies and empanels these organizations while the SRLMs take their services directly. SRLMs also identify and partner with various partner organizations on their own."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,14,How Are The SHGs Supported Under NRLM?,"Support to the SHGs of poor is in terms of knowledge, skills, funds, bank linkages and interest subvention. NRLM ensures that the poor are provided with the requisite knowledge and skills to the members, the leaders and the bookkeepers of the SHGs for: managing their institutions, enhancing their credit absorption capacity and credit worthiness, linking up with markets, managing their existing livelihoods, etc. | A multi-pronged approach is envisaged for continuous capacity building of the targeted families, SHGs, their federations, government functionaries, bankers, NGOs and other key stakeholders."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,15,What Other Measures Has NRLM Taken Towards Financial Inclusion?,NRLM facilitates the SHGs to open and operate bank accounts and bank linkages. It also facilitates access to insurance to members. It is encouraging individual members too to open bank accounts.
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,16,What Is A Micro Plan Of An SHG?,"Micro planning is a process where members are encouraged to recognize, understand and evaluate their resources; analyze challenges they face; identify needs and make future plans to overcome vulnerabilities by making optimum utilization of resources and fostering convergences. The SHGs receive their CIF only on developing their micro plans or microcredit plans."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,17,What Is Aajeevika Skills Development Programme (ASDP)?,"ASDP, Aajeevika Skills, gives young people from poor communities an opportunity to upgrade their skills and enter the skilled work force in growing sectors of the economy. Skill Training and Placement projects are run in partnership with public, private, non-government and/or community organizations."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,18,Who Will Be Eligible To Be Selected For Skills And Placement Under ASDP?,"Trainees between the age of 18-35 yrs and who belong to a rural poor household [that has been identified as being poor following the participatory identification of the poor (PIP) process undertaken as part of Aaajevika are eligible under ASDP. Till such time PIP is completed, BPL status or vetting by Gram Panchayat saying the candidate is from poor background, would suffice for being eligible for this selection under Skills and Placement under ASDP."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,19,What Are PIAs?,PIAs (Project Implementing Agencies) are for profit or not-for-profit registered entities identified by ASDP for skilling and placing the identified youth in various sectors as per their interest.
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,20,What Kind Of Training And Support Is Available Under The Aajeevika Skills?,"Youth identified under the programme get skilled in wide range of trades, including IT and soft skills. After training and placement, support is provided in terms of finding accommodation, opening a bank account when placed outside the home district and counseling at workplace."
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,21,Is There Any Self-Employment Generation Component In Aajeevika?,Aajeevika is encouraging public sector banks to set up Rural Self Employment Training Institutes (RSETIs) in all districts of the country on line lines of Rural Development Self-Employment Institute (RUDSETI) model for promoting self-employment. National Academy of RUDSETIs is supporting RSETIs in this effort. RSETIs provide self-employment training and link the candidates with bank loans for taking up self-employment. NRLM provides the costs of the training to RSETIs.
day-nrlm,Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,22,How Does NRLM Support Farm-Based Livelihoods?,"Mahila Kisan Sashaktikaran Pariyojana (MKSP), launched in 2010-11, is a special programme for livelihood enhancement under NRLM. It is a concerted effort to recognize the role of women in agriculture and an investment is being made to enhance their capacities and increase their income. The MKSP has two streams - Agriculture (and Livestock) and NTFP (Non-timber Forest Produce)."
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),1,Can I claim assistance if the accident occurred before the scheme's notification date?,"No, claims for accidents that occurred before the scheme's official notification date will not be entertained."
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),2,What are the age-wise assistance amounts under the DAYALU-II scheme?,"Assistance varies based on age: [?]1,00,000 for those up to 12 years, [?]2,00,000 for ages 12-18 years, [?]3,00,000 for ages 18-25 years, [?]5,00,000 for ages 25-40 years, and [?]2,00,000 for ages above 40 years."
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),3,How can I file a claim for assistance?,Claims should be filed online through the scheme's portal at https://dapsy.finhry.gov.in/ within three months of the accidental death or permanent disability.
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),4,What documents are required to claim assistance in case of death?,"You need to submit the death certificate and a copy of the FIR/DDR indicating the cause of death as an accident caused by stray cattle, animals, or dog bites."
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),5,What documents are needed to claim assistance for permanent disability?,"For permanent disability claims, you need to submit a permanent disability certificate from the Medical Authority, a hospital discharge summary, and a copy of the FIR/DDR indicating the cause of the accident."
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),6,How soon should the claim be filed after the accident?,The claim must be filed within three months from the date of the accidental death or permanent disability.
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),7,Who can apply for the claim if the beneficiary is deceased?,"If the beneficiary is deceased, an eligible relative can apply for the claim on behalf of the deceased individual."
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),8,How is the assistance amount paid to the claimant?,The assistance amount will be paid directly to the bank account registered in the Family Information Database (FIDR) or Aadhaar-linked bank accounts.
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),9,Is the assistance amount paid in installments or as a lump sum?,The assistance amount is paid in a lump sum to the eligible claimant.
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),10,What happens if the claimant provides false information in the claim?,"If false information is provided, the assistance amount will be recovered along with an interest of 12% per annum."
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),11,Can the assistance amount be claimed multiple times by the same individual?,"No, the assistance is provided only once for accidental death or permanent disability caused by stray cattle, animals, or dog bites."
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),12,Who will receive the assistance if the head of the family is deceased?,"If the head of the family is deceased, assistance will be given to the eldest family member below 60 years of age, or the next eligible relative above 60 years."
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),13,Can the assistance amount be transferred to a different account after it is disbursed?,The assistance amount will be transferred only to the registered bank account or Aadhaar-linked account as per the details in the PPP database.
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),14,Will the claimant receive assistance if the family member is below 18 years of age?,"If the family members are below 18 years of age, assistance will only be paid once a family member attains the age of 18 years."
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),15,How can I ensure the claim is processed quickly?,Ensure that all required documents are submitted accurately and within the prescribed time frame of three months to avoid delays in processing.
dayalu-ii,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU-II),16,Can a person with a disability caused by an animal other than a dog or cattle claim assistance?,"No, the scheme only provides assistance for disabilities caused by stray cattle, animals, or dog bites."
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),1,What is the purpose of the DAYALU scheme?,The scheme provides financial assistance to families in Haryana in case of the death or permanent disability of a member with an annual income below [?] 1.80 lakh.
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),2,Who is eligible to apply for this scheme?,"Residents of Haryana aged above 5 years and up to 60 years, having a Family ID (PPP) and an annual income below [?] 1.80 lakh, are eligible."
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),3,How is the income of a family verified under this scheme?,The income is verified through the Family Information Data Repository (FIDR) database.
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),4,What is the maximum financial assistance provided under the scheme?,The highest financial assistance provided is [?] 5 lakh for beneficiaries aged above 25 years and up to 40 years.
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),5,How is the assistance amount determined?,The assistance amount varies depending on the age of the beneficiary at the time of death or permanent disability.
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),6,Is there any adjustment for beneficiaries enrolled in PMJJBY and PMSBY?,"Yes, the assistance is adjusted if the beneficiary has received compensation under PMJJBY or PMSBY."
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),7,How can a claim be filed under this scheme?,The claim must be filed online through the scheme's portal within three months of the death or permanent disability. https://dapsy.finhry.gov.in/get-family-id
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),8,Who will receive the assistance amount in case of death?,The amount will be paid to the Head of the family or the eldest member below 60 years if the Head of the family is deceased.
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),9,Where will the assistance amount be credited?,The amount will be credited to the bank account registered in the PPP database or linked to the Aadhaar of the Head of the family.
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),10,What documents are required for applying under this scheme?,"Documents include the Family ID (PPP), bank details, Aadhaar card, and death/disability certificate, among others."
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),11,What happens if the claim is not filed within three months?,"The claim must be filed within the stipulated period; otherwise, it may not be processed."
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),12,Is there a separate department handling this scheme?,"Yes, the Haryana Parivar Suraksha Nyas (HPSN) is responsible for implementing this scheme."
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),13,Can a family member below 6 years apply?,"No, the scheme is only applicable to individuals aged above 6 years."
dayalu,Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),14,Can multiple members of a family receive benefits under this scheme?,"Yes, each eligible member of a family can receive benefits in case of death or permanent disability."
daynulmshguk,Deen Dayal Antyodaya Yojana - National Urban Livelihoods Mission (DAY-NULM): Self-Help Group - Uttarakhand,1,Who is eligible to form a self-help group?,"Women must belong to urban local body areas, have an Aadhaar card, provide one passport-size photograph, and come from families with an annual income of less than ₹3.00 lakh."
daynulmshguk,Deen Dayal Antyodaya Yojana - National Urban Livelihoods Mission (DAY-NULM): Self-Help Group - Uttarakhand,2,What benefits do SHGs receive under the scheme?,"Each SHG receives a one-time incentive of ₹10,000/- from the Government of India."
