scheme_id,scheme_name,short_title,ministry,category,sub_category,level,state_ut,target_beneficiaries,eligibility_criteria,eligibility_gender,eligibility_min_age,eligibility_max_age,eligibility_income_limit,eligibility_caste,benefits,application_process,documents_required,description_en,description_hi,source_url
2861,National Mission on Edible Oils- Oil Palm,NMEO OP,Department of Agriculture & Farmers Welfare,"Agriculture,Rural & Environment",,Central,All,Individual; Business Entity; University / Institution; NGO,Anyone is eligible to apply under the scheme.,All,0,99,0,SC,"The scheme targets to provide following benefits: | 1)	Enhance production and productivity of oilpalm | 2)	Promotion and extension of improved technologies. | 3)	Provision of quality planting material | 4)	Support for nutrient management and pest management | 5)	Provision of various components for Interventions covering farm implements/ machines, capacity building of farmers, water carrying pipes, Fertigation, harvesting technology, etc.",Step 01: Interested beneficiary can get in touch with District Agriculture Officer / Block Agriculture Officer to apply for the scheme.  |  Step 02: SLSC will finalise the entrepreneur’s proposals received from the districts. The allocation of funds to the States would be made on the basis of their Annual Action Plan (AAP).  |  Step 03: State government shall sanction and release funds to the district.  |  Step 04: District agriculture department will allocate funds to individual beneficiaries,1) ID Proof | 2)	Land documents | 3)	Bank details | 4)	Photographs | The specific documents for availing the benefits of the program may vary depending on the type of intervention and the state. It is recommended to consult with the relevant authorities for detailed information on documents to be submitted.,"The State Department of Agriculture, State Department of Horticulture, Central University, ICAR Institutions, CDDs, SAUs, KVKs, Central Agencies/Cooperatives, Oil palm processors/ Associations, DD Kisan, etc. will be the implementing stake holders of the NMEO-Oil palm. | The Department of Agriculture/Horticulture of the State Governments will be the Nodal agency for undertaking area expansion programme of Oil Palm in their States with close partnership with Processors. The processors are also eligible for setting up of seed gardens and seed nurseries, distribution of planting material etc. | The funds will be released to the State Departments of Agriculture/Horticulture through their respective State Governments. DBT will be used for transfer of funds to the State /Agencies/ Farmers/Processors/SAUs. The private sectors and NGOs could be involved through the State Department of Agriculture, Horticulture & ICAR. | Assistance will be provided for the following components: | •	Area Expansion | •	Planting Material | •	Maintenance | •	Intercropping | •	Drip irrigation/ Pump-set/ Borewell/ Water harvesting structure | •	Harvesting Tools | •	Custom Hiring Center | •	Seed Gardens | •	Seed Nursery | •	Oil Palm processing Mill | •	Replanting of Oil Palm garden | •	Half moon terrace | •	Fencing",,https://www.myscheme.gov.in/schemes/nmeo-op
2862,National Mission on Edible Oil- Oil Palm: Establishment of Seed Garden,NMEOESG,"Agriculture, Farmers Welfare and Cooperation Department","Agriculture,Rural & Environment",Financial assistance,State/ UT,Gujarat,Individual,The applicant should be a farmer.; The applicant should be a resident of Gujarat.,All,0,99,0,All,"- For Establishment of New Seed Orchards: ₹80,00,000/- per seed garden. Minimum area requirement is 15 hectares. - Nursery Development Assistance: ₹40,00,000/- per nursery for infrastructure and operational support.","&gt; Registration Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side, then click on &amp;quot;Beneficiary Registration&amp;quot; and select any one from the &amp;#39;Farmer&amp;#39; or &amp;#39;Institutional&amp;#39; or &amp;#39;Except For the Farmer&amp;#39; as the Beneficiary Type. | Step 3: Select the District, Taluka, and Village, choose &amp;#39;what type of account holder you are?&amp;#39;, enter your Account Number and Name, solve the Captcha, and click &amp;#39;Save and Next&amp;#39;. | Step 4: Enter your Mobile Number and Email address, click &amp;#39;Send OTP&amp;#39;, enter the received OTP, create and confirm a Password, solve the Captcha, and click &amp;#39;Submit&amp;#39;. | &gt; Login Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’. | Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open. | Step 4: Click on the &amp;quot;Apply New&amp;quot; button and submit a new application. | Step 5: Click on the &amp;quot;Update Application&amp;quot; button to add corrections to the application. | Step 6: Once the application is done, confirm it. | Step 7: Take a printout of the confirmed application. | &gt; Contact Us: Click here",Aadhaar Card.; Land Record 7-12 and 8-A.; Bank Passbook/Cancelled Cheque.; Caste Certificate (if applicable).; Disability Certificate from Competent Authority (if applicable).,"The scheme component &quot;Establishment of Seed Garden&quot; launched under the &quot;National Mission on Edible Oil–Oil Palm&quot; scheme by the Department of Agriculture, Farmers Welfare and Co-operation, Government of Gujarat, aims to increase the production of oil palm in Gujarat and reduce dependence on imported oil palm. The scheme provides financial assistance for establishing new seed orchards and related infrastructure to enhance seedling production capacity. It supports farmers with maintenance, input costs, and nursery development to promote self-reliance in oil palm cultivation.",,https://www.myscheme.gov.in/schemes/nmeoesg
2863,National Means-cum-Merit Scholarship Scheme,NMMSS,Department of School Education and Literacy,Education & Learning,Scholarships and student finance,Central,All,Individual,"Mental Ability Test (MAT), 90 minutes duration: 90 multiple-choice questions testing verbal and non-verbal meta-cognitive abilities like reasoning and critical thinking. The questions in the test may be on analogy. classification. numerical series, pattern perception, hidden figure, etc.; Scholastic Aptitude Test (SAT), 90 minutes duration: 90 multiple-choice questions covering subjects, namely, science, social studies, and mathematics, as taught in classes 7th and 8th.; The students must pass both the MAT and the SAT with at least 40 % marks in aggregate taken together for these two tests. For the SC/ST students, this cut-off will be 32% marks.; At the time of selection for the award of scholarship, the student must have scored at least 55% mark or equivalent grade in the Class 8th examination. There will be 5 % relaxation for SC/ST students.; The awardees should satisfy the other eligibility conditions mentioned in the scheme.; Takes up studies in approved courses.; Maintains good conduct as certified by the Head of the College/Institution and continues his/her studies as a regular student in a government/Government aided/ Local Body school.; Does not absent himself/herself without proper leave.; Takes up studies on a full-time basis.; The scheme will provide reservations to different categories of students as per the State/UT norms; as different States/UTs have their own norms of reservation.; A student can avail of only one Scholarship under any Central Government Scholarship scheme.; The awardees will be required to open bank accounts preferably in SBI, any public sector bank, or any scheduled bank which has a core banking facility.; No claim for scholarship arrears will be entertained after the expiry of 12 months of the academic session for which one has applied for the claim.; In case any awardee leaves his/her course of study within one month of registration/admission, no scholarship shall be paid to him/her.; In case the student is not able to appear at the annual examination due to serious illness, he/she should send the medical certificate to the Head of the Institution within three months of his/her falling ill. The duration of illness should be clearly certified by a specialist who is a Registered Medical Practitioner. The facility will be available to the student to continue the same course in which they are studying, provided the principal or the head of the institution certifies that the overall performance of the student during the year has been very good.; The student must join the next class/desired course within 3 months of the declaration of the result of the previous class/course.; The scholarship shall be deemed to be discontinued if any gap of one academic session arises in studies at any time due to any reason.; Scholarship once discontinued on the basis of the rules of disbursement of scholarship cannot be revived under any circumstances.; All rules are subject to change from time to time, as and when required, which will be binding on all awardees.; The awardees should get a minimum of 60% marks in Class 10th for the continuation of the scholarship (relaxable by 5% for SC/ST candidates) in the next higher classes.; For continuing the scholarship in class 10th and 12th, the awardees should get clear promotion from class 9th to class 10th and from class 11th to class 12th in the first attempt.; The awardees should get clear promotion from class 8th to Class 9th for being eligible for starting the scholarship, as indicated above.; The scholarship at the Secondary and Higher Secondary stage or equivalent classes 9th to 12th is payable for a maximum period of four years for studies in India only.; For continuing the scholarship in class 10th and 12th, the awardees should get clear promotion from class 9th to class 10th and from class 11th to class 12th in the first attempt.; The awardees must obtain a minimum of 60% marks in the Class 10th examination (relaxable by 5% for SC/ST students) or equivalent examination for continuation of the scholarship at the higher secondary stage.; In case an institution/school does not conduct an examination at the end of Class 9th and/or Class 11th, the scholarship for the second year will be continued on the submission of a certificate to this effect from the Head of the Institution/School.",All,0,99,0,SC/ST,"- Under this scheme, 1,00,000 fresh scholarships @ ₹12,000/- per annum (₹1,000 per month) are awarded to the meritorious students every year at Class IX level, which can be continued upto Class Xll. | - The awardees will be required to open bank accounts preferably in SBI, or any public sector bank or any scheduled bank which has core banking facility. | - The amount of scholarships will be disbursed to students directly into their bank accounts by electronic transfer through Direct Benefit Transfer (DBT).","New Registration: | Step 1: Visit the Registration page of the National Scholarships Portal. | Step 2: Guidelines for Registration will appear. Scroll to the bottom. Read carefully the undertaking. Accept the Terms. Click “Continue”. | Step 3: A Registration Form will appear. (The fields marked as are compulsory). Fill in the details and click “Register”. Your Application ID and password will be displayed. The same will also be sent as an SMS to your registered mobile number. | Fresh Application*: | Step 1: Visit the applicant Login page of the National Scholarships Portal Enter your Application ID and password. | Step 2: Type the Captcha and click “Login”. | Step 3: On the next screen, provide the OTP received on your registered mobile number. You will be directed to the Password Reset screen. Create a new password and confirm. | Step 4: Click “Submit”. You will be directed to the “Applicant’s Dashboard”. | Step 5: On the left pane, click “Application Form”. The fields marked as are compulsory. Fill in the details and upload the documents. The verification of credentials of the students (caste, educational qualifications etc.) will be done through the DIGILOCKER facility of the MeitY, Govt. of India. | Step 6: You can either click on “Save as Draft” to complete the application later. Else, click “Final Submit” to apply. | Track Payment Status: | The student can track their payment status from the template “Know Your Payment” in the Public Financial Management System (PFMS) Portal either by indicating their Aadhaar Number, Bank Account number or NSP Application ID. | Selection of fresh Awardee Students: | - Each State/UT conducts its own test for selection of students for the award of the National Means-cum-Merit Scholarship. | - The test is conducted at stage of class-VIII. The students, who fulfill the eligibility criteria, must pass both the tests, i.e., Mental Ability Test (MAT) and Scholastic Aptitude Test (SAT) under NMMSS exam with at least 40 % marks in aggregate taken together for these two tests. | - For the SC/ST students, this cut off is 32% marks. | Selection of Renewal Awardees Students:** | - The awardees should get minimum of 60% marks in Class X for continuation of scholarship (relaxable by 5% for SC/ST candidates) in next higher classes. | - For continuing the scholarship in class X and XII, the awardees should get clear promotion form class IX to class X and from class XI to class XII in the first attempt.","Aadhaar Card; Educational Certificates/ marksheet; Caste Certificate; Income Certificate of Parents; Disability Certificate, if applicable; Domicile Certificate; Any other supporting documents as required","The “National Means-cum-Merit Scholarship Scheme” is a Central Sector Scheme launched in 2008 by the Department of School Education &amp; Literacy, Ministry of Education, Government of India. The objective of the scheme is to award scholarships to meritorious students of economically weaker sections to arrest their drop out at class VIII and encourage them to continue their education at secondary stage. | Under this scheme, it is proposed to award 1,00,000 scholarships to the gifted or meritorious students whose parental income is not more than ₹3,50,000/- per annum from all sources at the time of selection of awardees for scholarship. Each State/UT has fixed quota of scholarship for concerned age group of class VII and VIII. The scheme will provide reservation to different categories of students as per the State/UT norms; as different States/UTs have their own norms of reservation. | This scholarship will be provided on yearly basis to the students studying as regular students and entering in class IX in a Government, Government-aided, local body schools. Thus, the scholarship will be for a maximum period of four years. | The scheme has been approved for continuation for another 5 years during the period of 15th Finance Commission cycle from 2021-22 to 2025-26.",,https://www.myscheme.gov.in/schemes/nmmss
2864,National Mission on Natural Farming,NMNF,Department of Agriculture & Farmers Welfare,"Agriculture,Rural & Environment",,Central,None,Individual; University / Institution,The scheme is applicable to all farmers in India,All,0,99,0,SC,"•	Farmers practicing Natural Farming reported similar yields to those following conventional farming. In several cases, higher yields per harvest were also reported. | •	As Natural Farming does not use any synthetic chemicals, health risks and hazards are eliminated. The food has higher nutrition density and therefore offers better health benefits. | •	Natural Farming ensures better soil biology, improved agrobiodiversity and a more judicious usage of water with much smaller carbon and nitrogen footprints. | •	Natural Farming aims to make farming viable and aspirational by increasing net incomes of farmers on account of cost reduction, reduced risks, similar yields, incomes from intercropping. | •	By working with diverse crops that help each other and cover the soil to prevent unnecessary water loss through evaporation, Natural Farming optimizes the amount of ‘crop per drop’.","Step 01: Interested beneficiary can get in touch with Zila Parishad to apply for the scheme.  |  Step 02: Zila Parishad Officer will submit applicant’s details and project plan to State Agriiculture Department.  |  Step 03: State Agriiculture Department will prepare a State Annual Action Plan  |  Step 04: Once funds from State are approved, financial assistance will be released to beneficiary.",1)	Aadhaar number | 2)	Land documents | 3)	Caste Certificate (SC/ST only) | 4)	Bank Details | 5)	Photographs  |  The specific documents for availing the benefits of the program may vary depending on the type of intervention and the state. It is recommended to consult with the relevant authorities for detailed information on documents to be submitted.,"National Mission on Natural farming aims at creating institutional capacities for documentation and dissemination of best practices, make practicing farmers as partners in promotion strategy, ensure capacity building and continuous handholding and finally attracting farmers to the natural farming willingly on the merit of the system.  |  The main objectives of the scheme are: | •	To promote alternative system of farming for freedom from external purchased inputs, cost reduction and thereby increasing income of farmers | •	To popularize integrated agriculture-animal husbandry models based on desi cow and local resources. | •	To collect, validate and document Natural Farming practices being practiced in various parts of the country and to encourage participatory research with farmers on further up scaling | •	To undertake activities for awareness creation, capacity building, promotion, and demonstration of Natural Farming. | •	To create standards, certification procedure and branding for Natural Farming products for national and international markets.",,https://www.myscheme.gov.in/schemes/nmnf
2865,National Mission on Edible Oil- Oil Palm: Custom Hiring Centre cum Harvester Groups,NMOECHCHG,"Agriculture, Farmers Welfare and Cooperation Department","Agriculture,Rural & Environment",Entrepreneurship development,State/ UT,Gujarat,Registered Societies; Self Help Groups (SHGS); Individual,The applicant should be a farmer.; The applicant should be a resident of Gujarat.,All,0,99,0,All,"- Subsidy for Custom Hiring Centre cum Harvester Groups: ₹25,00,000/- per unit for equipment, tools, training, contingencies, and maintenance.","&gt; Registration Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side, then click on &amp;quot;Beneficiary Registration&amp;quot; and select any one from the &amp;#39;Farmer&amp;#39; or &amp;#39;Institutional&amp;#39; or &amp;#39;Except For the Farmer&amp;#39; as the Beneficiary Type. | Step 3: Select the District, Taluka, and Village, choose &amp;#39;what type of account holder you are?&amp;#39;, enter your Account Number and Name, solve the Captcha, and click &amp;#39;Save and Next&amp;#39;. | Step 4: Enter your Mobile Number and Email address, click &amp;#39;Send OTP&amp;#39;, enter the received OTP, create and confirm a Password, solve the Captcha, and click &amp;#39;Submit&amp;#39;. | &gt; Login Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’. | Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open. | Step 4: Click on the &amp;quot;Apply New&amp;quot; button and submit a new application. | Step 5: Click on the &amp;quot;Update Application&amp;quot; button to add corrections to the application. | Step 6: Once the application is done, confirm it. | Step 7: Take a printout of the confirmed application. | &gt; Contact Us: Click here",Aadhaar Card.; Land Record 7-12 and 8-A.; Bank Passbook/Cancelled Cheque.; Caste Certificate (if applicable).; Disability Certificate from Competent Authority (if applicable).,"The scheme component &quot;Custom Hiring Centre cum Harvester Groups &quot; launched under the &quot;National Mission on Edible Oil–Oil Palm&quot; scheme by the Department of Agriculture, Farmers Welfare and Co-operation, Government of Gujarat, aims to increase the production of oil palm in the state and reduce dependency on imports by supporting farmers with equipment and facilities. It provides financial assistance for establishing Custom Hiring Centres and Harvester Groups to make harvesting more efficient.",,https://www.myscheme.gov.in/schemes/nmoechchg
2866,National Mission on Edible Oil- Oil Palm: Drip Irrigation,NMOEDP,"Agriculture, Farmers Welfare and Cooperation Department","Agriculture,Rural & Environment",Land and water resources,State/ UT,Gujarat,Individual,The applicant should be a farmer.; The applicant should be a resident of Gujarat.,All,0,99,0,All,- For Small & Marginal Farmers: 55% subsidy.- For Other Farmers: 45% subsidy.,"&gt; Registration Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side, then click on &amp;quot;Beneficiary Registration&amp;quot; and select any one from the &amp;#39;Farmer&amp;#39; or &amp;#39;Institutional&amp;#39; or &amp;#39;Except For the Farmer&amp;#39; as the Beneficiary Type. | Step 3: Select the District, Taluka, and Village, choose &amp;#39;what type of account holder you are?&amp;#39;, enter your Account Number and Name, solve the Captcha, and click &amp;#39;Save and Next&amp;#39;. | Step 4: Enter your Mobile Number and Email address, click &amp;#39;Send OTP&amp;#39;, enter the received OTP, create and confirm a Password, solve the Captcha, and click &amp;#39;Submit&amp;#39;. | &gt; Login Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’. | Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open. | Step 4: Click on the &amp;quot;Apply New&amp;quot; button and submit a new application. | Step 5: Click on the &amp;quot;Update Application&amp;quot; button to add corrections to the application. | Step 6: Once the application is done, confirm it. | Step 7: Take a printout of the confirmed application. | &gt; Contact Us: Click here",Aadhaar Card.; Land Record 7-12 and 8-A.; Bank Passbook/Cancelled Cheque.; Caste Certificate (if applicable).; Disability Certificate from Competent Authority (if applicable).,"The scheme component &quot;Drip Irrigation&quot; launched under the &quot;National Mission on Edible Oil–Oil Palm&quot; scheme by the Department of Agriculture, Farmers Welfare and Co-operation, Government of Gujarat, aims to promote oil palm cultivation in Gujarat to meet domestic demand and reduce dependence on imports. The scheme facilitates the installation of drip irrigation systems for farmers, ensuring efficient water use and improved productivity. The subsidy is provided as per the norms of the Pradhan Mantri Krishi Sinchayee Yojana (PMKSY), with differential rates for small &amp; marginal farmers and other farmers.",,https://www.myscheme.gov.in/schemes/nmoedp
2867,National Mission on Edible Oil- Oil Palm: Harvesting Tools,NMOEHT,"Agriculture, Farmers Welfare and Cooperation Department","Agriculture,Rural & Environment","Mechanization- solar power, farming systems",State/ UT,Gujarat,Individual,The applicant should be a farmer.; The applicant should be a resident of Gujarat.,All,0,99,0,All,"- Cutter: ₹2,500/- per unit.- Wire Mesh: ₹20,000/- per unit.- Motorized Chisel: ₹15,000/- per unit.- Portable Ladder/Polls: ₹5,000/- per unit.- Chaff Cutter: ₹50,000/- per unit.- Tractor Trolley: ₹2,00,000/- per unit.","&gt; Registration Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side, then click on &amp;quot;Beneficiary Registration&amp;quot; and select any one from the &amp;#39;Farmer&amp;#39; or &amp;#39;Institutional&amp;#39; or &amp;#39;Except For the Farmer&amp;#39; as the Beneficiary Type. | Step 3: Select the District, Taluka, and Village, choose &amp;#39;what type of account holder you are?&amp;#39;, enter your Account Number and Name, solve the Captcha, and click &amp;#39;Save and Next&amp;#39;. | Step 4: Enter your Mobile Number and Email address, click &amp;#39;Send OTP&amp;#39;, enter the received OTP, create and confirm a Password, solve the Captcha, and click &amp;#39;Submit&amp;#39;. | &gt; Login Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’. | Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open. | Step 4: Click on the &amp;quot;Apply New&amp;quot; button and submit a new application. | Step 5: Click on the &amp;quot;Update Application&amp;quot; button to add corrections to the application. | Step 6: Once the application is done, confirm it. | Step 7: Take a printout of the confirmed application. | &gt; Contact Us: Click here",Aadhaar Card.; Land Record 7-12 and 8-A.; Bank Passbook/Cancelled Cheque.; Caste Certificate (if applicable).; Disability Certificate from Competent Authority (if applicable).,"The scheme component &quot;Harvesting Tools&quot; launched under the &quot;National Mission on Edible Oil–Oil Palm&quot; scheme by the Department of Agriculture, Farmers Welfare and Co-operation, Government of Gujarat, aims to promote oil palm cultivation by increasing production in the state and reducing dependency on imported oil palm. The scheme provides financial assistance to farmers for purchasing harvesting tools and equipment required for efficient oil palm cultivation.",,https://www.myscheme.gov.in/schemes/nmoeht
2868,National Mission on Edible Oil- Oil Palm: Nursery,NMOEN,"Agriculture, Farmers Welfare and Cooperation Department","Agriculture,Rural & Environment",Entrepreneurship development,State/ UT,Gujarat,Individual,The applicant should be a farmer.; The applicant should be a resident of Gujarat.,All,0,99,0,All,"- Subsidy: ₹40,00,000/- per nursery.- Capacity: 10 hectares for ₹1,00,000 worth of saplings.","&gt; Registration Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side, then click on &amp;quot;Beneficiary Registration&amp;quot; and select any one from the &amp;#39;Farmer&amp;#39; or &amp;#39;Institutional&amp;#39; or &amp;#39;Except For the Farmer&amp;#39; as the Beneficiary Type. | Step 3: Select the District, Taluka, and Village, choose &amp;#39;what type of account holder you are?&amp;#39;, enter your Account Number and Name, solve the Captcha, and click &amp;#39;Save and Next&amp;#39;. | Step 4: Enter your Mobile Number and Email address, click &amp;#39;Send OTP&amp;#39;, enter the received OTP, create and confirm a Password, solve the Captcha, and click &amp;#39;Submit&amp;#39;. | &gt; Login Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’. | Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open. | Step 4: Click on the &amp;quot;Apply New&amp;quot; button and submit a new application. | Step 5: Click on the &amp;quot;Update Application&amp;quot; button to add corrections to the application. | Step 6: Once the application is done, confirm it. | Step 7: Take a printout of the confirmed application. | &gt; Contact Us: Click here",Aadhaar Card.; Land Record 7-12 and 8-A.; Bank Passbook/Cancelled Cheque.; Caste Certificate (if applicable).; Disability Certificate from Competent Authority (if applicable).,"The scheme component &quot;Nursery&quot; launched under the &quot;National Mission on Edible Oil–Oil Palm&quot; scheme by the Department of Agriculture, Farmers Welfare and Co-operation, Government of Gujarat, aims to promote oil palm cultivation in the state by providing financial assistance to farmers for establishing oil palm nurseries. This initiative seeks to increase domestic production, thereby reducing the import of oil palm from abroad and strengthening the agricultural economy.",,https://www.myscheme.gov.in/schemes/nmoen
2869,National Mission on Edible Oil–Oil Palm: Maintenance and Input Cost for Intercropping in Oilpalm,NMOEPMICIO,"Agriculture, Farmers Welfare and Cooperation Department","Agriculture,Rural & Environment","Agricultural Inputs- seeds, fertilizer etc.",State/ UT,Gujarat,Individual,The applicant should be a farmer.; The applicant should be a resident of Gujarat.,All,0,99,0,All,"- First Year: ₹10,500/-. - Second Year: ₹10,500/-. - Third Year: ₹10,500/-. - Fourth Year: ₹10,500/-.","&gt; Registration Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side, then click on &amp;quot;Beneficiary Registration&amp;quot; and select any one from the &amp;#39;Farmer&amp;#39; or &amp;#39;Institutional&amp;#39; or &amp;#39;Except For the Farmer&amp;#39; as the Beneficiary Type. | Step 3: Select the District, Taluka, and Village, choose &amp;#39;what type of account holder you are?&amp;#39;, enter your Account Number and Name, solve the Captcha, and click &amp;#39;Save and Next&amp;#39;. | Step 4: Enter your Mobile Number and Email address, click &amp;#39;Send OTP&amp;#39;, enter the received OTP, create and confirm a Password, solve the Captcha, and click &amp;#39;Submit&amp;#39;. | &gt; Login Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’. | Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open. | Step 4: Click on the &amp;quot;Apply New&amp;quot; button and submit a new application. | Step 5: Click on the &amp;quot;Update Application&amp;quot; button to add corrections to the application. | Step 6: Once the application is done, confirm it. | Step 7: Take a printout of the confirmed application. | &gt; Contact Us: Click here",Aadhaar Card.; Land Record 7-12 and 8-A.; Bank Passbook/Cancelled Cheque.; Caste Certificate (if applicable).; Disability Certificate from Competent Authority (if applicable).,"The scheme component &quot;Maintenance and Input Cost for Intercropping in Oilpalm&quot; launched under the &quot;National Mission on Edible Oil–Oil Palm&quot; scheme by the Department of Agriculture, Farmers Welfare and Co-operation, Government of Gujarat. aims to promote the cultivation of oil palm, enhance domestic production, and reduce dependency on imports. The scheme provides assistance to farmers for maintenance and intercropping during the four-year gestation period of oil palm plantations, ensuring the timely provision of essential inputs such as seeds, fertilizers, crop protection materials, and other related resources.",,https://www.myscheme.gov.in/schemes/nmoepmicio
2870,National Mission on Edible Oil–Oil Palm: Planting Materials,NMOEPPM,"Agriculture, Farmers Welfare and Cooperation Department","Agriculture,Rural & Environment","Agricultural Inputs- seeds, fertilizer etc.",State/ UT,Gujarat,Individual,The applicant should be a farmer.; The applicant should be a resident of Gujarat.,All,0,99,0,All,"- For Locally Sourced Planting Materials.: ₹20,000/- per hectare - For Imported Plants (including transportation cost): ₹29,000/- per hectare | Note: For imported seedlings (along with transportation cost) the assistance will be admissible as per the holding of land held by the farmer.","&gt; Registration Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side, then click on &amp;quot;Beneficiary Registration&amp;quot; and select any one from the &amp;#39;Farmer&amp;#39; or &amp;#39;Institutional&amp;#39; or &amp;#39;Except For the Farmer&amp;#39; as the Beneficiary Type. | Step 3: Select the District, Taluka, and Village, choose &amp;#39;what type of account holder you are?&amp;#39;, enter your Account Number and Name, solve the Captcha, and click &amp;#39;Save and Next&amp;#39;. | Step 4: Enter your Mobile Number and Email address, click &amp;#39;Send OTP&amp;#39;, enter the received OTP, create and confirm a Password, solve the Captcha, and click &amp;#39;Submit&amp;#39;. | &gt; Login Process: | Step 1: The applicant may visit and apply online at the I-Khedut Portal. | Step 2: Click on &amp;#39;Login&amp;#39; from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’. | Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open. | Step 4: Click on the &amp;quot;Apply New&amp;quot; button and submit a new application. | Step 5: Click on the &amp;quot;Update Application&amp;quot; button to add corrections to the application. | Step 6: Once the application is done, confirm it. | Step 7: Take a printout of the confirmed application. | &gt; Contact Us: Click here",Aadhaar Card.; Land Record 7-12 and 8-A.; Bank Passbook/Cancelled Cheque.; Caste Certificate (if applicable).; Disability Certificate from Competent Authority (if applicable).,"The scheme component &quot;Planting Materials&quot; launched under the &quot;National Mission on Edible Oil–Oil Palm&quot; scheme by the Department of Agriculture, Farmers Welfare and Co-operation, Government of Gujarat, aims to enhance oil palm cultivation in Gujarat by providing subsidized planting materials to farmers, thereby reducing import dependency and promoting self-reliance in edible oil production. The assistance covers both locally sourced and imported seedlings, including transportation costs for imported varieties.",,https://www.myscheme.gov.in/schemes/nmoeppm
