scheme_slug,scheme_name,question,answer
fasetdp,Financial Assistance To Self-Employment For Trained Disabled Persons,For What Purposes Can The Amount Of The Financial Assistance Be Utilized?,The amount of financial assistance can be utilized towards the purchase of Tool Kits/Equipment for those disabled persons to Start Their Own Businesses.
fasfj,Financial Assistance Scheme for Journalists and Litterateurs - Rajasthan,What is the Journalist Financial Assistance Facility?,A financial aid scheme for journalists/litterateurs in Rajasthan.
fasfj,Financial Assistance Scheme for Journalists and Litterateurs - Rajasthan,Who manages the scheme?,Managed by DIPR under a committee formed by the state government.
fasfjd,Financial Assistance Scheme for Dependents of Deceased Journalists and Litterateurs - Rajasthan,Who manages the scheme?,Managed by DIPR under a committee formed by the state government.
fasfjd,Financial Assistance Scheme for Dependents of Deceased Journalists and Litterateurs - Rajasthan,Who is eligible?,"Spouse, unmarried daughters, unemployed sons, and aged parents of the journalists and litterateurs."
fasgbocwwb,Funeral Assistance Scheme (GBOCWWB),Who administers the Funeral Assistance Scheme?,"The scheme is administered by the Labour, Skill Development & Employment Department, Government of Gujarat, through the Gujarat Building and Other Construction Worker's Welfare Board."
fasgbocwwb,Funeral Assistance Scheme (GBOCWWB),What is the primary objective of the Scheme?,The main objective of this scheme is to provide financial assistance to the heir of a deceased construction worker registered with the Gujarat Building and Other Construction Worker's Welfare Board in case of death during the ongoing membership.
fashceescbcs,Financial Assistance Scheme For Higher Competitive/ Entrance Examination To Scheduled Castes/ Backwa,What is the objective of the scheme?,"The objectives of the scheme are to enable Scheduled Castes and Backward Classes candidates to avail postal/classroom coaching for civil services Examinations like IFS, IAS & Allied Services, and any other services examinations conducted by the UPSC/HPSC/LIC/GIC/ RRB/ BRB, etc. and any other recruit"
fashceescbcs,Financial Assistance Scheme For Higher Competitive/ Entrance Examination To Scheduled Castes/ Backwa,Which department has launched this scheme?,"Welfare of Scheduled Castes & Backward Classes Department, Government of Haryana"
fasiiiaivcp,Financial Assistance for Stage III & IV Cancer Patients,Who implementes this scheme?,"Directorate of Social Justice and Empowerment, Government of Haryana"
fasiiiaivcp,Financial Assistance for Stage III & IV Cancer Patients,When will the scheme start?,"The scheme will commence on 1st January, 2024."
fasmeimw,Financial Assistance for Scaling Mount Everest and Other Inaccessible Mountains of the World,"What is the purpose of the scheme ""Financial Assistance for Scaling Mount Everest and Other Inaccessible Mountains of the World""?","The scheme ""Financial Assistance for Scaling Mount Everest and Other Inaccessible Mountains of the World"" aims to promote the spirit of adventure and mountaineering among Indian citizens, especially those from Gujarat, by providing financial assistance to individuals who successfully scale Mount Eve"
fasmeimw,Financial Assistance for Scaling Mount Everest and Other Inaccessible Mountains of the World,Who is eligible to receive financial assistance under this scheme?,"Individuals who have successfully scaled Mount Everest or other challenging and inaccessible mountains, meet the specified age criteria, and submit valid certificates of training, fitness, and clean police record are eligible to apply under the scheme ""Financial Assistance for Scaling Mount Everest "
fasmmwsw-hlwb,Financial Assistance as Shagun in Marriage of Man Workers or Son of Workers - Haryana Labour Welfare,When was this scheme launched?,"The scheme was launched on January 15, 2019."
fasmmwsw-hlwb,Financial Assistance as Shagun in Marriage of Man Workers or Son of Workers - Haryana Labour Welfare,How much financial assistance is provided under this scheme?,"The scheme provides financial assistance of [?]21,000/-."
fasmp,Funeral Assistance Scheme (Madhya Pradesh),What is the Funeral Assistance Scheme?,The Funeral Assistance Scheme provides financial support to families facing difficulties in arranging the last rites of a deceased family member.
fasmp,Funeral Assistance Scheme (Madhya Pradesh),How much assistance is provided under the scheme?,"An amount of [?]3,000 is provided to support the funeral expenses."
fasmrgmp,Financial Assistance to Shaurya Medal Recipients by the Government of Madhya Pradesh,Who is eligible for this scheme?,Shaurya Medal awardees who are permanent residents of Madhya Pradesh.
fasmrgmp,Financial Assistance to Shaurya Medal Recipients by the Government of Madhya Pradesh,Is there any age limit?,"No, there is no age limit for applying."
fasmrwwhbocwwb,Financial Assistance for Self-Marriage of Registered Women Workers (HBOCWWB),What does the scheme offer?,It offers financial assistance to registered women workers for arranging their own marriage.
fasmrwwhbocwwb,Financial Assistance for Self-Marriage of Registered Women Workers (HBOCWWB),How much financial assistance is provided under this scheme?,"A financial assistance of [?]50,000/- is provided to registered women workers."
faspalscf,Financial Assistance Scheme for Purchase of Agricultural Land to Scheduled Caste Farmers,When was the scheme launched?,The scheme was launched in the year 1986.
faspalscf,Financial Assistance Scheme for Purchase of Agricultural Land to Scheduled Caste Farmers,What is the main objective of the scheme?,"The scheme aims to provide financial assistance to Scheduled caste farmers for purchasing agricultural land, thereby enhancing their income through self-cultivation."
faspscccsnppsdppie,"Financial Assistance to Sportspersons to Pursue Sports Coaching Courses Conducted by SAI, NSNIS, Pat",What is the aim of the scheme?,"The scheme aims to provide financial assistance to sportspersons of Odisha to help them become qualified coaches, by undertaking SAI, NSNIS coaching courses, so as to improve their employability."
faspscccsnppsdppie,"Financial Assistance to Sportspersons to Pursue Sports Coaching Courses Conducted by SAI, NSNIS, Pat",What are the benefits offered under this scheme?,"The benefits provided under this scheme are as follows: | - Sportspersons under the BPL category: 100% Course Fee plus an amount of [?]10,000/- for Diploma and long-term courses and [?]5,000/- for Six Weeks Certificate Courses to meet travelling and other miscellaneous expenses. | - Sportspersons of"
fassameu,Financial Assistance to SC Students Appearing in the Mains Examination of UPSC,Is there an income limit for applicants to qualify for this financial aid?,"Yes, the annual income of the applicant’s parents must not exceed ₹5,00,000/-."
fassameu,Financial Assistance to SC Students Appearing in the Mains Examination of UPSC,What is the maximum financial assistance provided under this scheme?,"Eligible students may receive up to ₹50,000/-, depending on budget availability."
fastpscgameie,Financial Assistance to Scheduled Tribe (Plains) Students for Coaching for Getting Admission into Me,Is there any educational qualification required to apply for this financial assistance?,"Yes, applicants must have appeared or passed the 10+2 examination to be eligible."
fastpscgameie,Financial Assistance to Scheduled Tribe (Plains) Students for Coaching for Getting Admission into Me,How are candidates selected for this coaching reimbursement scheme?,"Selection is based on merit, determined by the percentage secured in the Matriculation Examination."
fasts-gbsy,"Financial Assistance to ST Students under ""Gagan Bharari Shiksha Yojana""","What is the duration of the scholarship provided by the ""Gagan Bharari Shiksha Yojana""?",The scholarship is available for a single academic year and is applicable for students studying in any class during that year.
fasts-gbsy,"Financial Assistance to ST Students under ""Gagan Bharari Shiksha Yojana""","Are manual application forms accepted for the ""Gagan Bharari Shiksha Yojana""?","No, starting from the academic year 2022-23, manual application forms will not be accepted. The application process has transitioned to an exclusively online format."
fasuccu,Financial Assistance for Setting up Crab Culture Unit,What training is required for applicants under the scheme?,Applicants must undergo a training programme on Crab Farming organized by the Fisheries Department/MPEDA/ICAR/Other Institutes.
fasuccu,Financial Assistance for Setting up Crab Culture Unit,What is the primary benefit provided under the scheme?,"The scheme offers financial assistance of 25% of the actual cost, limited to [?]1,50,000 per hectare for setting up a Crab Culture Unit."
fasucs,Financial Assistance for Setting Up of Cold Storage,How do I create an account and begin the registration process on the application portal?,"To create your account, visit the PIPDIC website at https://pipdic.in/, click ""Login"", and then select the ""New customer"" link. Enter a unique username, your email address, a secure password, and the Captcha code, then click ""Register"" to complete the registration process."
fasucs,Financial Assistance for Setting Up of Cold Storage,What is the purpose of the One-Time Password verification during the login process?,"The OTP is a security measure sent to your registered email address to verify your identity and ensure that only authorized users can access your account. You must enter this OTP and click ""Login"" to proceed to your customer dashboard."
fasuofug,Financial Assistance for setting up of Ornamental Fish Unit in Goa,"What is the duration of the training program on Ornamental Fish Farming, and is it conducted by the Department?","The duration of the training program on Ornamental Fish Farming is not specified. However, applicants should have undergone a training program organized by the Fisheries Department/ MPEDA/ ICAR to fulfill the eligibility criteria. The training content and duration may vary based on the organizing in"
fasuofug,Financial Assistance for setting up of Ornamental Fish Unit in Goa,"Is there a specific format for the estimate of the proposed construction work, and who approves it?",The estimate of the proposed construction work should be in a detailed plan/layout format and approved by the engineer attached to V.P/ Municipality/ BDO/ PWD. This is an essential part of the documentation for the application.
fasuseiahsri-mp,"'Financial Assistance for Setting Up of Sales Emporia by Industrial Associations, Handicrafts Societ",Is there a maximum limit on the financial assistance provided to the eligible entities?,The scheme details do not specify a maximum limit. Applicants may refer to the scheme guidelines for information on the financial assistance ceiling.
fasuseiahsri-mp,"'Financial Assistance for Setting Up of Sales Emporia by Industrial Associations, Handicrafts Societ",Can applicants from other Union Territories apply for this scheme?,The scheme explicitly mentions that the applicant should be an artisan or unit industrialist from Puducherry.
fasuw-ecw,Funeral Assistance Scheme for Unorganized Workers (Except Construction Workers),What is the time limit for submitting my application after the death of my family member who held an e-Shram card?,"You must submit your application within 3 (three) months from the date of death of the unorganized worker, as applications submitted after this deadline will be automatically cancelled."
fasuw-ecw,Funeral Assistance Scheme for Unorganized Workers (Except Construction Workers),Can I apply for this financial assistance if my deceased family member was a construction worker with an e-Nirman card?,"No, the scheme specifically excludes construction workers and e-Nirman card holders, as this assistance is only for other unorganized sector workers with e-Shram cards."
fat75opd,Financial Assistance to 75% or Permanent Disability,Who is eligible for this scheme?,Registered construction worker with the Maharashtra Building and Other Construction Workers Welfare Board (MBOCWW) who has a 75% or permanent disability.
fat75opd,Financial Assistance to 75% or Permanent Disability,What is the amount of financial assistance provided?,"The scheme provides [?]2,00,000 to the registered worker for 75% or permanent disability."
fatafbp,Financial Assistance to Authors for Book Publication,Who can benefit from this scheme?,Permanent/native residents of Uttarakhand whose literary works have not been published due to lack of funds.
fatafbp,Financial Assistance to Authors for Book Publication,What types of literary works are eligible under this scheme?,"Original manuscripts of books, including poetry, fiction, non-fiction, and scholarly works, that have not yet been published."
fataps,Financial Assistance to Traditional Artisans (Panchavrutthi Scheme),What is the Financial Assistance to Traditional Artisans (Panchavrutthi Scheme)?,It is a financial assistance scheme for traditional artisans of the Vishwakarma community in Karnataka.
fataps,Financial Assistance to Traditional Artisans (Panchavrutthi Scheme),Who can apply for this scheme?,"Traditional artisans belonging to the Vishwakarma community in Karnataka, aged 18-55."
fatcdhbocwwb,Financial Assistance for Treatment of Chronic Diseases (HBOCWWB),What are the benefits of the scheme?,"Registered workers can receive financial assistance of up to [?]1,00,000/- for the indoor treatment of chronic diseases like Cancer, TB, AIDS, etc."
fatcdhbocwwb,Financial Assistance for Treatment of Chronic Diseases (HBOCWWB),Who is eligible to apply for this scheme?,"Applicants must be registered under the Haryana Building & Other Construction Workers Welfare Board and require indoor treatment for chronic diseases such as cancer, tuberculosis (TB), AIDS, etc."
fatcwd-hlwb,Financial Assistance for Try Cycle to Workers and their Dependents - Haryana Labour Welfare Board,What is the financial benefit provided under this scheme?,"Eligible workers and their dependents will receive financial assistance of [?]7,000/- or the actual price of the tricycle, whichever is less."
fatcwd-hlwb,Financial Assistance for Try Cycle to Workers and their Dependents - Haryana Labour Welfare Board,How often can a worker avail of this financial assistance?,Workers are provided with one-time financial assistance in a block of five years to purchase a tricycle.
fatdicodorw,Financial Assistance to dependents in Case of Death of Registered Workers(JKBOCWWB),What is the Financial Assistance to Dependents in Case of Death of Registered Workers scheme?,"This scheme provides financial assistance of [?]2,00,000/- to the dependents of registered construction workers who pass away."
fatdicodorw,Financial Assistance to dependents in Case of Death of Registered Workers(JKBOCWWB),Who is eligible to apply for this scheme?,The dependents of a deceased registered worker who was an active member of the Jammu and Kashmir Building & Other Construction Workers Welfare Board are eligible to apply.
fatgmpopcvv,Financial Assistance to Troupes Going to Mumbai/Poona and Other Parts of the Country & Vice Versa,What specific musical elements must be included in my performance to meet the traditional format requirements?,"Your performance must include at least 4 'cantos' with comedy linked to the story, and at least 10 'Kantaram'. The 'Kantaram' must feature at least 2 Duets, 1 Duo, 1 Trio, 1 Quartet/quintet, 1 Choral Song and Solos."
fatgmpopcvv,Financial Assistance to Troupes Going to Mumbai/Poona and Other Parts of the Country & Vice Versa,How many times can I apply for financial assistance within a single financial year period?,"You can avail the scheme only twice in a financial year, but it must be for two different Tiatrs. This limitation ensures fair distribution of benefits among various applicants."
fatha,Financial Assistance to Helpless Artists,What is the minimum age to apply?,Applicants must be 60 years or older.
fatha,Financial Assistance to Helpless Artists,Who is considered a 'helpless artist'?,"Artists who are elderly, poor, or physically disabled and unable to earn."
fatia,Financial Assistance to Indigent Artistes,What is the financial assistance amount provided to indigent artists under this scheme?,The financial assistance amount is [?]1000/- per month.
fatia,Financial Assistance to Indigent Artistes,Who is eligible for the financial assistance for indigent artists?,"Artists above 50 years of age with significant contributions to Music, Dance, Drama, Folk, Painting, and Sculpture."
fatits,Financial Assistance to Indigent Tamil Scholars,What is the monthly financial assistance provided to indigent Tamil scholars under this scheme?,"The scheme provides [?]1,500/- per month to eligible scholars."
fatits,Financial Assistance to Indigent Tamil Scholars,Who is eligible for this financial assistance?,Tamil scholars aged 58 years and above who have made significant contributions to Tamil language and literature are eligible.
fatlclnbsmec,Financial Assistance to the Teachers/Lecturers Children who taken loan from Nationalised Banks for s,Who is eligible for this scheme?,Children of teachers/lecturers working in government or aided institutions with life membership of the Welfare Fund.
fatlclnbsmec,Financial Assistance to the Teachers/Lecturers Children who taken loan from Nationalised Banks for s,What is the maximum financial assistance provided?,"Up to [?]50,000 for loan interest repayment."
fatmtfeodap,Financial Assistance to Meet the Funeral Expenses of Differently Abled Person,What is the amount of financial assistance provided for funeral expenses?,The financial assistance provided for funeral expenses is a sum of [?]2000.
fatmtfeodap,Financial Assistance to Meet the Funeral Expenses of Differently Abled Person,Are there any income criteria for availing this assistance?,There are no specific income criteria mentioned for availing this assistance.
fatngo,Financial Assistance to Non Governmental Organisations,What expenses are covered by the financial assistance provided to NGOs?,"The financial assistance provided to NGOs covers feeding charges, rent, and construction/extension of building for schools catering to children with intellectual disabilities."
fatngo,Financial Assistance to Non Governmental Organisations,How long should a school for children with intellectual disabilities have been operational to be eligible for funding?,Schools for children with intellectual disabilities must have been operational for a minimum period of 5 years to be eligible for funding.
fatnukyv,Financial Assistance to Newlyweds under Kanyadan Yojana (Vijabhaj),"What is the ""Kanyadan Yojana (Vijabhaj)"" scheme?","This scheme provides financial assistance to economically backward couples belonging to Scheduled Castes, Freed Castes, Nomadic Tribes, and Special Backward Classes for their first marriage."
fatnukyv,Financial Assistance to Newlyweds under Kanyadan Yojana (Vijabhaj),How much financial assistance is provided under this scheme?,"A financial assistance of [?]10,000/- is given to the newlywed couple."
fatpomo2t5ffttfc,Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe,"What is the Department of Fisheries' website, and where can the guidelines be found?","The Department's website is https://fisheries.goa.gov.in/, and guidelines are available at https://fisheries.goa.gov.in/wp-content/uploads/2023/07/CitizenCharter-2.pdf."
fatpomo2t5ffttfc,Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe,What is the Grievance Redressal process for the scheme?,Any dissatisfaction or complaint can be registered with the Grievance Redressal Officer or emailed to dir-fish.goa@nic.in. The response will be communicated within 30 days.
fatpsfha,Financial Assistance to Pensioners Suffering From HIV and AIDS,What is Financial Assistance to Pensioners Suffering From HIV/AIDS Scheme?,Financial Assistance to Pensioners Suffering From HIV/AIDS Scheme provides social security through monthly financial assistance to those persons who are suffering from HIV/AIDS.
fatpsfha,Financial Assistance to Pensioners Suffering From HIV and AIDS,Which department has launched Financial Assistance to Pensioners Suffering From HIV/AIDS Scheme ?,"Financial Assistance to Pensioners Suffering From HIV/AIDS Scheme has been launched by the Department of Women, Child Development & Social Security, Government of Jharkhand."
fatssfshsa,Financial Assistance to SC Students for Pursuing Higher Studies Abroad,What is the maximum age limit for applicants to be eligible for the financial assistance?,The applicant must be below 30 years of age as on the cut-off date of the respective year.
fatssfshsa,Financial Assistance to SC Students for Pursuing Higher Studies Abroad,What is the minimum qualification required for a candidate applying for a Master’s degree?,The candidate must have secured at least 55% marks or equivalent grade in the relevant Bachelor’s degree.
fatuvas,Financial Assistance to Take up Value Addition to Seafood,What is the website link for accessing the guidelines and Citizen Charter related to the scheme?,Guidelines: https://fisheries.goa.gov.in/schemes-services/ | Citizen Charter: https://fisheries.goa.gov.in/wp-content/uploads/2023/07/CitizenCharter-2.pdf
fatuvas,Financial Assistance to Take up Value Addition to Seafood,Are there any specific training programs that enhance the chances of selection for youth applicants?,Youth who have completed fishermen training courses/short-term programs by the Directorate of Fisheries receive preference.
fatyg,Financial Assistance to Youth Groups,Who can apply for this scheme?,"Registered Mangal Dals affiliated with the Department of Youth Welfare, Uttarakhand."
fatyg,Financial Assistance to Youth Groups,What is the group’s contribution?,25% of the total project cost must be contributed by the beneficiary group.
fauame,Financial Assistance for UPSC/APSC Mains Exam,Is there any income limit requirement for availing financial assistance under this scheme?,"No, there is no income limit for applicants to be eligible for this financial assistance."
fauame,Financial Assistance for UPSC/APSC Mains Exam,What is the key qualifying condition for applying for this financial aid?,The applicant must have passed the Assam Public Service Commission (APSC) or Union Public Service Commission (UPSC) preliminary exam in the current year.
faups,Financial Assistance to Widower and Unmarried Persons Scheme : For Unmarried,Who is eligible under the unmarried category?,"Unmarried individuals (both male and female) aged 45 years or above, belonging to a family with an annual income of up to [?]1,80,000, are eligible."
faups,Financial Assistance to Widower and Unmarried Persons Scheme : For Unmarried,Can a divorcee apply under the unmarried category?,"No, divorcees are not eligible for this scheme."
favct,Persons With Disabilities Scheme In Colleges: Financial Assistance To Visually Challenged Teachers,What is financial assistance for visually challenged teachers?,"Financial assistance for visually challenged teachers refers to various programs, grants, scholarships, or financial aid offered to support visually impaired individuals pursuing a career in teaching. These programs aim to alleviate financial burdens and provide opportunities for professional develo"
favct,Persons With Disabilities Scheme In Colleges: Financial Assistance To Visually Challenged Teachers,Who is eligible for financial assistance for visually challenged teachers?,"Eligibility criteria may vary depending on the specific program or scheme. Generally, individuals with visual impairments or blindness who are pursuing or planning to pursue a career in teaching may be eligible for financial assistance. Specific requirements may include educational qualifications, e"
favia,Financial Assistance To Visually Impaired Advocates,What is the “Financial Assistance to Visually Impaired Advocates” Scheme?,"Under the scheme, financial assistance will be provided to visually impaired advocates who are practicing in any one or more Courts in Kerala. The applicant under this scheme shall be eligible for an exgratia non-recurring grant for the purchase of books, provisional suits, etc., and they are being "
favia,Financial Assistance To Visually Impaired Advocates,Which department has launched this scheme?,"Social Justice Department, Government of Kerala"
fawddwhlwb,Financial Assistance to Widow/Dependent in case of Death of a Worker- Haryana Labour Welfare Board,What is the objective of the scheme?,The objective of the scheme is to provide financial assistance to the widow or dependent of a worker who passed away while working in industrial or commercial establishments in Haryana.
fawddwhlwb,Financial Assistance to Widow/Dependent in case of Death of a Worker- Haryana Labour Welfare Board,How much financial assistance does the scheme provide?,"The scheme offers a financial assistance of [?]2,00,000/- to the widow or dependent of the deceased worker."
fawdsddaw,Widow Daughter Marriage Scheme,What is Financial Assistance for the Marriage of Daughters of Poor Widows and Orphan Girls (WDM)?,Financial Assistance for the marriage of daughters of poor widows and orphan girls is the welfare scheme of Govt. of NCT of Delhi to provide financial assistance to the poor widows for performing the marriage of their daughters (up to two daughters) and to provide financial assistance to the guardia
fawdsddaw,Widow Daughter Marriage Scheme,What are the documents required to avail WDM benefits?,"- An application for the financial assistance under this scheme shall be submitted online on e-district portal https://edistrict.delhigovt.nic.in or offline to the District WCD Officer concerned in the prescribed Form, which may be obtained from any of the offices of the District WC&D Offices. | - T"
fawgav,Financial Assistance To Women And Girl Acid Attack Victims,Who Is Eligible For The Financial Assistance Scheme For Women And Girl Acid Attack Victims?,Women and girl acid attack victims who are residents of Haryana and have been attacked in the state are eligible for this scheme.
fawgav,Financial Assistance To Women And Girl Acid Attack Victims,Is There Any Age Limit To Avail Of The Benefits Of This Scheme?,"No, there is no age limit to avail of the benefits of this scheme."
fawus,Financial Assistance to Widower and Unmarried Persons Scheme : For Widower,Who is eligible under the widower category?,"Widowers aged 40 years or above, with an annual verified income of up to [?]3,00,000, are eligible for financial assistance."
fawus,Financial Assistance to Widower and Unmarried Persons Scheme : For Widower,What is the financial assistance amount for widowers?,Eligible widowers receive [?]2750 per month.
fawvpmdc-hlwb,"Financial Assistance to Workers with a Visually, Physically or Mentally Disabled Child- Haryana Labo",What type of assistance does the scheme provide?,"It provides financial assistance to the disabled (blind, mentally retarded, mute, and deaf) children of registered workers."
fawvpmdc-hlwb,"Financial Assistance to Workers with a Visually, Physically or Mentally Disabled Child- Haryana Labo",What are the benefits under this scheme?,"There are two tiers of benefits: [?]20,000/- per year for children with disabilities from 70 to 90%, and [?]30,000/- per year for those with disabilities from 91 to 100%."
fawwdf,Financial Assistance to War Widows of Defence Forces,How much financial assistance is provided under this scheme?,"The scheme provides [?]3,000 per month, with an annual increase of [?]400 every November starting from 01.11.2017."
fawwdf,Financial Assistance to War Widows of Defence Forces,Is this financial assistance in addition to other pensions?,"Yes, this financial assistance is provided in addition to the family pension already received from the Government of India."
fawwiivwwwiiv,Financial Assistance to WW II Veteran and Widows of WW II Veterans,Who is eligible for the financial assistance under this scheme?,Ex-servicemen who enrolled before 31st August 1945 (WW II Veterans) and their widows who are bonafide residents of Haryana and are not receiving any other form of pension or financial assistance.
fawwiivwwwiiv,Financial Assistance to WW II Veteran and Widows of WW II Veterans,What is the monthly financial assistance provided under this scheme?,"The scheme provides [?]10,000/- per month to eligible beneficiaries."
fawwrcw,Financial Assistance for Widow or Widower of Registered Construction Worker,What is the purpose of this scheme?,The scheme provides financial support to the widow or widower of a deceased registered construction worker.
fawwrcw,Financial Assistance for Widow or Widower of Registered Construction Worker,How much financial assistance is provided?,"[?]24,000 per year is provided for up to five years."
fawwwwmwmhlwb,Financial Assistance for Working Women Workers or Wives of Male Workers for Maternity- Haryana Labou,How much financial assistance is provided under this scheme?,"A sum of [?]10,000/- is provided for the delivery of each child, up to a maximum of two children. However, if the children are all girls, the benefit extends to three children."
fawwwwmwmhlwb,Financial Assistance for Working Women Workers or Wives of Male Workers for Maternity- Haryana Labou,Who is eligible for this scheme?,"Applicants should be employed in industrial or commercial establishments in Haryana, registered with the Haryana Labour Welfare Board, and their monthly salary should not exceed [?]25,000/-."
fbamesntdnt,Food Bill Assistance for Medical & Engineering Students of Nomadic Tribes & Denotified Tribes,Who is eligible to apply for the scheme?,"Eligible applicants must be residents of Gujarat, belong to a Notified Tribe or De‑Notified Tribe (NTDNT) community, and be pursuing a full-time Medical or Engineering degree within the state."
fbamesntdnt,Food Bill Assistance for Medical & Engineering Students of Nomadic Tribes & Denotified Tribes,How many months is the allowance paid?,Up to 10 months each academic year.
fbamessebc,Food Bill Assistant for Medical & Engineering Students of SEBC,Who can apply for this scheme?,Socially and Educationally Backward Class (SEBC) students studying Medical or Engineering courses in Gujarat.
fbamessebc,Food Bill Assistant for Medical & Engineering Students of SEBC,How much assistance is provided under the scheme?,"₹1,500 per month for a maximum of 10 months."
fbascs,Food Bill Assistance to SC Students,"Who administers the ""Food Bill Assistance to SC Students"" scheme?","The scheme is administered by the Director, Scheduled Caste Welfare, Government of Gujarat."
fbascs,Food Bill Assistance to SC Students,What is the purpose of the scheme?,The scheme provides financial assistance for food bills to Scheduled Caste (SC) students enrolled in college-affiliated hostels.
fbds,Free Bicycle Distribution Scheme,Who can apply for the scheme?,Only Scheduled Caste (SC) students studying in Class 8 and belonging to BPL or APL families are eligible to apply.
fbds,Free Bicycle Distribution Scheme,How is the benefit amount disbursed to the beneficiaries?,The benefit amount of [?]3000 is transferred directly to the beneficiary's bank account via DBT.
fbdsvgac,"Free Bicycle Distribution to Students of Vimukt, Ghumantu and Ardhghumantu Communities",Who can apply under the Free Bicycle Distribution Scheme?,"Students belonging to a total of 32 communities (Denotified Tribes, Nomadic Tribes or Semi-Nomadic Tribes communities) will be eligible as per the Government Order No. F-1(1)(2)S.W/63 dated 24.02.1964, Annexure 'A'."
fbdsvgac,"Free Bicycle Distribution to Students of Vimukt, Ghumantu and Ardhghumantu Communities",What is the benefit provided under the scheme?,The eligible students receive a free bicycle.
fbfs,Feed Based Fisheries Scheme,Who is eligible to apply for this scheme?,"Fish farmers who are actively involved in cage fish farming, Recirculatory Aquaculture Systems (RAS), or Biofloc systems are eligible to apply."
fbfs,Feed Based Fisheries Scheme,How much subsidy is provided under the scheme?,"Fish farmers are eligible for a subsidy of 50% of the feed cost, with a maximum of [?]22 per kg of fish feed."
fbmbocwwb,Funeral Benefit (MBOCWWB),What is “Funeral Benefit” scheme?,"The ""Funeral Benefit"" scheme is a social security scheme that provides financial assistance to the nominees/dependents of a deceased member, towards funeral expenses."
fbmbocwwb,Funeral Benefit (MBOCWWB),Which department has implemented this Scheme?,Meghalaya Building And Other Construction Workers Welfare Board
fbpmp,Free Bus Pass for Media Persons,What is the expected processing time for a fresh application?,"The processing time may vary, and applicants are advised to contact the Department of Information & Publicity for updates on the status of their applications."
fbpmp,Free Bus Pass for Media Persons,Can the free bus pass be used for personal travel as well?,The pass is intended solely for professional travel needs of media persons and is not valid for personal travel.
fbpuk,Free Blood to Patients - Uttarakhand,Who is eligible to benefit from this scheme?,All patients admitted to government hospitals in Uttarakhand who require blood during treatment are eligible to receive free blood.
fbpuk,Free Blood to Patients - Uttarakhand,Is this scheme available for patients admitted to private hospitals?,No.
fbs,Food Bill Assistance,Which students are eligible for food bill assistance?,"The students who are pursuing graduate-level courses in Medical, Dental, Technical, or Para-Technical fields are eligible for food bill assistance."
fbs,Food Bill Assistance,How much financial assistance is provided under this scheme?,"The eligible students will receive financial assistance of [?]1,200 per month for a total of 10 months."
fbsscsphe,Free Books Scheme for Scheduled Caste Students Pursuing Higher Education,What is the aim of this scheme?,The scheme aims to encourage SC students to pursue higher education by providing financial assistance for purchasing books.
fbsscsphe,Free Books Scheme for Scheduled Caste Students Pursuing Higher Education,Is this scheme available across all colleges in Haryana?,"Yes, the scheme is implemented in all government colleges across Haryana."
fc-giapswb,"“Family Counseling"" under Grant-in-Aid to Pondicherry State Social Welfare Board",Are the counselling services limited to specific social issues?,"No, the services extend to victims facing a broad spectrum of social problems."
fc-giapswb,"“Family Counseling"" under Grant-in-Aid to Pondicherry State Social Welfare Board",Where can one find the State Social Welfare Board's office for inquiries?,"The office is located at 17, Deivasigamani Nagar, Sanjay Gandhi Nagar, Ilango Nagar, Puducherry, 605013."
fcbghpbocwwb,Female Child Birth Gift Scheme (HPBOCWWB),What is the Female Child Birth Gift Scheme?,"It is a financial assistance scheme by HPBOCWWB that provides [?]51,000 for each of two daughters of registered workers, deposited as a Fixed Deposit Receipt (FDR)."
fcbghpbocwwb,Female Child Birth Gift Scheme (HPBOCWWB),Who is eligible for this scheme?,"The worker must be engaged in construction work, registered with HPBOCWWB, and have an active membership with at least a two-month subscription."
fcds,Floriculture Development Scheme,What is the key objective of the scheme?,To motivate the farmers to take up floriculture (traditional and non-traditional flowers) as a commercial venture through the distribution of planting materials and other inputs.
fcds,Floriculture Development Scheme,Which department has launched this scheme?,"Department of Agriculture & Farmers' Welfare, Government of Meghalaya has launched this scheme."
fcfswd,Free Coaching for Students with Disabilities,What is this scheme ?,"A Scheme ""Free Coaching for Students with Disabilities"" was initiated by the Department of Empowerment of Persons with Disabilities under the ""Ministry of Social Justice and Empowerment""."
fcfswd,Free Coaching for Students with Disabilities,Who is eligible for the Free Coaching for Students with Disabilities scheme?,"Students with disabilities who have at least 40% disability and are preparing for competitive examinations conducted by the Union Public Service Commission (UPSC), Staff Selection Commission (SSC), various Railway Recruitment Boards (RRBs) for Group 'A' and 'B' posts, State Public Service Commission"
fchdnnasnc,"Free Caste Hostel (De-Notified, Nomadic and Semi-Nomadic Communities)",What is the Free caste hostel Scheme?,"The scheme provides financial assistance to students of de-notified, nomadic, and semi-nomadic tribes studying in local educational institutions."
fchdnnasnc,"Free Caste Hostel (De-Notified, Nomadic and Semi-Nomadic Communities)",Who is eligible for this scheme?,"Students belonging to de-notified, nomadic, and semi-nomadic tribes who are enrolled in local educational institutions are eligible."
